2020-07-01,0.471,40.705,NULL,Zimbabwe
2020-07-02,0.471,41.513,NULL,Zimbabwe
2020-07-03,0.471,42.051,NULL,Zimbabwe
2020-07-04,0.538,46.962,NULL,Zimbabwe
2020-07-05,0.538,48.174,NULL,Zimbabwe
2020-07-06,0.606,49.385,NULL,Zimbabwe
2020-07-07,0.606,52.951,NULL,Zimbabwe
2020-07-08,0.606,59.544,NULL,Zimbabwe
2020-07-09,0.606,59.544,NULL,Zimbabwe
2020-07-10,0.875,63.379,NULL,Zimbabwe
2020-07-11,1.211,66.07,NULL,Zimbabwe
2020-07-12,1.211,66.272,NULL,Zimbabwe
2020-07-13,1.278,69.569,NULL,Zimbabwe
2020-07-14,1.346,71.588,NULL,Zimbabwe
2020-07-15,1.346,73.27,NULL,Zimbabwe
2020-07-16,1.547,91.637,NULL,Zimbabwe
2020-07-17,1.615,95.54,NULL,Zimbabwe
2020-07-18,1.682,99.442,NULL,Zimbabwe
2020-07-19,1.682,108.39,NULL,Zimbabwe
2020-07-20,1.749,115.253,NULL,Zimbabwe
2020-07-21,1.749,122.452,NULL,Zimbabwe
2020-07-22,1.749,136.851,NULL,Zimbabwe
2020-07-23,1.884,142.906,NULL,Zimbabwe
2020-07-24,2.153,154.478,NULL,Zimbabwe
2020-07-25,2.288,163.763,NULL,Zimbabwe
2020-07-26,2.288,169.011,NULL,Zimbabwe
2020-07-27,2.422,181.929,NULL,Zimbabwe
2020-07-28,2.691,189.532,NULL,Zimbabwe
2020-07-29,2.759,193.703,NULL,Zimbabwe
2020-07-30,3.566,208.034,NULL,Zimbabwe
2020-07-31,4.508,213.215,NULL,Zimbabwe
2020-08-01,4.642,246.183,NULL,Zimbabwe
2020-08-02,4.71,263.811,NULL,Zimbabwe
2020-08-03,5.383,274.172,NULL,Zimbabwe
2020-08-04,5.45,283.995,NULL,Zimbabwe
2020-08-05,5.45,283.995,NULL,Zimbabwe
2020-08-06,5.652,291.934,NULL,Zimbabwe
2020-08-07,6.863,299.47,NULL,Zimbabwe
2020-08-08,6.863,307.813,NULL,Zimbabwe
2020-08-09,6.997,312.792,NULL,Zimbabwe
2020-08-10,6.997,319.453,NULL,Zimbabwe
2020-08-11,6.997,324.162,NULL,Zimbabwe
