2021-04-30 00:00:00.000,Solomon Islands,NULL
2021-04-30 00:00:00.000,Uganda,NULL
2021-04-30 00:00:00.000,Romania,NULL
2021-04-30 00:00:00.000,Kazakhstan,NULL
2021-04-30 00:00:00.000,Nigeria,NULL
2021-04-30 00:00:00.000,Vatican,NULL
2021-04-30 00:00:00.000,Tanzania,NULL
2021-04-30 00:00:00.000,Morocco,11.54
2021-04-30 00:00:00.000,Panama,NULL
2021-04-30 00:00:00.000,Libya,NULL
2021-04-30 00:00:00.000,Malta,NULL
2021-04-30 00:00:00.000,Saudi Arabia,NULL
2021-04-30 00:00:00.000,Sudan,NULL
2021-04-30 00:00:00.000,Thailand,0.55
2021-04-30 00:00:00.000,Somalia,NULL
2021-04-30 00:00:00.000,Iran,0.25
2021-04-30 00:00:00.000,Marshall Islands,NULL
2021-04-30 00:00:00.000,Ukraine,0
2021-04-30 00:00:00.000,Kenya,NULL
2021-04-30 00:00:00.000,Russia,5.16
2021-04-30 00:00:00.000,Mozambique,NULL
2021-04-30 00:00:00.000,Senegal,NULL
2021-04-30 00:00:00.000,Papua New Guinea,NULL
2021-04-30 00:00:00.000,Suriname,NULL
2021-04-30 00:00:00.000,Liechtenstein,NULL
2021-04-30 00:00:00.000,Mauritania,NULL
2021-04-30 00:00:00.000,Venezuela,NULL
2021-04-30 00:00:00.000,Myanmar,NULL
2021-04-30 00:00:00.000,Iraq,NULL
2021-04-30 00:00:00.000,Lithuania,10.85
2021-04-30 00:00:00.000,Paraguay,NULL
2021-04-30 00:00:00.000,Kosovo,NULL
2021-04-30 00:00:00.000,Timor,NULL
2021-04-30 00:00:00.000,South Africa,0.54
2021-04-30 00:00:00.000,North Macedonia,NULL
2021-04-30 00:00:00.000,United Arab Emirates,NULL
2021-04-30 00:00:00.000,Rwanda,NULL
2021-04-30 00:00:00.000,Serbia,21.87
2021-04-30 00:00:00.000,Kuwait,NULL
2021-04-30 00:00:00.000,Mauritius,NULL
2021-04-30 00:00:00.000,Sweden,7.48
2021-04-30 00:00:00.000,Ireland,NULL
2021-04-30 00:00:00.000,Namibia,NULL
2021-04-30 00:00:00.000,Vietnam,NULL
2021-04-30 00:00:00.000,Saint Kitts and Nevis,NULL
2021-04-30 00:00:00.000,Luxembourg,NULL
2021-04-30 00:00:00.000,United Kingdom,NULL
2021-04-30 00:00:00.000,Peru,NULL
2021-04-30 00:00:00.000,Togo,NULL
2021-04-30 00:00:00.000,Norway,NULL
2021-04-30 00:00:00.000,Kyrgyzstan,NULL
2021-04-30 00:00:00.000,Mexico,5.51
2021-04-30 00:00:00.000,Micronesia (country),NULL
2021-04-30 00:00:00.000,Seychelles,NULL
2021-04-30 00:00:00.000,Israel,58.84
2021-04-30 00:00:00.000,Switzerland,NULL
2021-04-30 00:00:00.000,Nepal,NULL
2021-04-30 00:00:00.000,Madagascar,NULL
2021-04-30 00:00:00.000,Saint Lucia,NULL
2021-04-30 00:00:00.000,Philippines,0.26
2021-04-30 00:00:00.000,Sierra Leone,NULL
2021-04-30 00:00:00.000,United States,30.32
2021-04-30 00:00:00.000,Syria,NULL
2021-04-30 00:00:00.000,Laos,NULL
2021-04-30 00:00:00.000,South Korea,0.45
2021-04-30 00:00:00.000,Moldova,0.42
2021-04-30 00:00:00.000,Trinidad and Tobago,NULL
2021-04-30 00:00:00.000,Italy,9.85
2021-04-30 00:00:00.000,Yemen,NULL
2021-04-30 00:00:00.000,Malawi,NULL
2021-04-30 00:00:00.000,Netherlands,NULL
2021-04-30 00:00:00.000,Latvia,2.76
2021-04-30 00:00:00.000,South Sudan,NULL
2021-04-30 00:00:00.000,Tunisia,NULL
2021-04-30 00:00:00.000,Saint Vincent and the Grenadines,NULL
2021-04-30 00:00:00.000,Samoa,NULL
2021-04-30 00:00:00.000,Poland,NULL
2021-04-30 00:00:00.000,Singapore,NULL
2021-04-30 00:00:00.000,New Zealand,NULL
2021-04-30 00:00:00.000,Uruguay,19.24
2021-04-30 00:00:00.000,Oman,NULL
2021-04-30 00:00:00.000,Monaco,NULL
2021-04-29 00:00:00.000,Monaco,NULL
2021-04-29 00:00:00.000,Oman,NULL
2021-04-29 00:00:00.000,Uruguay,18.12
2021-04-29 00:00:00.000,New Zealand,NULL
2021-04-29 00:00:00.000,Singapore,NULL
2021-04-29 00:00:00.000,Poland,7.59
2021-04-29 00:00:00.000,Samoa,NULL
2021-04-29 00:00:00.000,Saint Vincent and the Grenadines,NULL
2021-04-29 00:00:00.000,Tunisia,0.73
2021-04-29 00:00:00.000,South Sudan,NULL
2021-04-29 00:00:00.000,Latvia,2.66
2021-04-29 00:00:00.000,Netherlands,NULL
2021-04-29 00:00:00.000,Malawi,NULL
2021-04-29 00:00:00.000,Yemen,NULL
2021-04-29 00:00:00.000,Italy,9.54
2021-04-29 00:00:00.000,Trinidad and Tobago,NULL
2021-04-29 00:00:00.000,Moldova,0.41
2021-04-29 00:00:00.000,South Korea,0.39
2021-04-29 00:00:00.000,Laos,NULL
2021-04-29 00:00:00.000,Syria,NULL
2021-04-29 00:00:00.000,United States,29.8
2021-04-29 00:00:00.000,Sierra Leone,0.07
2021-04-29 00:00:00.000,Philippines,0.24
2021-04-29 00:00:00.000,Saint Lucia,NULL
2021-04-29 00:00:00.000,Madagascar,NULL
2021-04-29 00:00:00.000,Nepal,NULL
2021-04-29 00:00:00.000,Switzerland,NULL
2021-04-29 00:00:00.000,Israel,58.82
2021-04-29 00:00:00.000,Seychelles,60.16
2021-04-29 00:00:00.000,Micronesia (country),NULL
2021-04-29 00:00:00.000,Mexico,5.24
2021-04-29 00:00:00.000,Kyrgyzstan,NULL
2021-04-29 00:00:00.000,Norway,6.59
2021-04-29 00:00:00.000,Togo,NULL
2021-04-29 00:00:00.000,Peru,1.86
2021-04-29 00:00:00.000,United Kingdom,21.41
2021-04-29 00:00:00.000,Luxembourg,8.14
2021-04-29 00:00:00.000,Macao,5.46
2021-04-29 00:00:00.000,Saint Kitts and Nevis,NULL
2021-04-29 00:00:00.000,Vietnam,NULL
2021-04-29 00:00:00.000,Namibia,NULL
2021-04-29 00:00:00.000,Ireland,NULL
2021-04-29 00:00:00.000,Isle of Man,18.55
2021-04-29 00:00:00.000,Sweden,7.32
2021-04-29 00:00:00.000,Mauritius,NULL
2021-04-29 00:00:00.000,Kuwait,NULL
2021-04-29 00:00:00.000,Serbia,NULL
2021-04-29 00:00:00.000,Rwanda,NULL
2021-04-29 00:00:00.000,United Arab Emirates,NULL
2021-04-29 00:00:00.000,North Macedonia,NULL
2021-04-29 00:00:00.000,South Africa,0.52
2021-04-29 00:00:00.000,Timor,NULL
2021-04-29 00:00:00.000,Kosovo,NULL
2021-04-29 00:00:00.000,Paraguay,NULL
2021-04-29 00:00:00.000,Lithuania,9.95
2021-04-29 00:00:00.000,Iraq,NULL
2021-04-29 00:00:00.000,Myanmar,NULL
2021-04-29 00:00:00.000,Venezuela,NULL
2021-04-29 00:00:00.000,Mauritania,NULL
2021-04-29 00:00:00.000,Liechtenstein,NULL
2021-04-29 00:00:00.000,Suriname,NULL
2021-04-29 00:00:00.000,Papua New Guinea,NULL
2021-04-29 00:00:00.000,Senegal,NULL
2021-04-29 00:00:00.000,Mozambique,NULL
2021-04-29 00:00:00.000,Russia,5.05
2021-04-29 00:00:00.000,Kenya,NULL
2021-04-29 00:00:00.000,Ukraine,0
2021-04-29 00:00:00.000,Marshall Islands,NULL
2021-04-29 00:00:00.000,Iran,0.24
2021-04-29 00:00:00.000,Somalia,NULL
2021-04-29 00:00:00.000,Thailand,0.48
2021-04-29 00:00:00.000,Sudan,NULL
2021-04-29 00:00:00.000,Malta,23.92
